name,country,mouse,dpi,sens
gokushima,Russia,Logitech G Pro X Superlight Black,800,1.6
Thomas,United Kingdom,ZOWIE FK2,400,1.45
ritchiE,Belgium,FinalMouse Starlight Pro,800,0.75
CSO,Brazil,Logitech G Pro X Superlight Magenta,400,1.77
PANIX,Germany,Logitech G Pro X Superlight Black,400,2.0
lcf,Brazil,Logitech G Pro X Superlight White,400,1.82
arrozdoce,Portugal,Logitech G Pro X Superlight White,800,1.2
cptkurtka023,Ukraine,Glorious Model O Wireless,400,1.4
OWNER,Ukraine,Logitech G Pro X Superlight Black,800,1.25
lattykk,Russia,Logitech G Pro X Superlight Magenta,1600,0.9
Lack1,Kazakhstan,Logitech G Pro X Superlight Black,400,1.37
Norwi,Russia,Xtrfy M4 Wireless,800,0.6
donk,Russia,Logitech G Pro X Superlight Black,800,1.25
MUTiRiS,Portugal,Razer Deathadder V3 Pro White,400,3.38
kory,Hungary,Logitech G Pro X Superlight Black,800,1.5
land1n,Brazil,Razer Deathadder V3 Pro White,400,2.2
PlesseN,Sweden,Logitech G Pro X Superlight Black,400,3.0
CRUC1AL,Netherlands,Logitech G Pro X Superlight White,400,2.5
S0TF1k,Russia,Logitech G Pro X Superlight Black,800,0.95
Moseyuh,China,ZOWIE EC2-C,400,1.9
KENSI,Russia,Logitech G Pro X Superlight Black,400,1.55
benjyfishy,United Kingdom,Razer Viper V2 Pro Black,800,0.283
JamYoung,China,ZOWIE EC2-CW,400,2.2
r1nkle,Ukraine,Razer Viper V2 Pro White,400,2.13
Mercury,China,ZOWIE S2,400,2.12
CacaNito,North Macedonia,Logitech G Pro X Superlight Black,400,1.5
Kaze,Malaysia,ZOWIE EC2-C,1600,0.4
Bazzi,South Korea,Logitech G Pro X Superlight Black,1600,0.17
poka,Russia,Logitech G Pro X Superlight White,800,0.855
t3xture,South Korea,ZOWIE EC3-CW,800,0.45
Merstach,Latvia,Logitech G Pro X Superlight Magenta,800,0.617
Cloud,Russia,VAXEE XE Pink,800,0.4
Kuba,Germany,Logitech G Pro X Superlight White,400,0.55
jakee,United States,Logitech G Pro X Superlight Black,800,0.217
runi,United States,Logitech G Pro X Superlight Black,800,0.3
story,Portugal,Logitech G Pro X Superlight Black,400,2.75
ewjerkz,Portugal,VAXEE XE Black,400,1.5
rmn,Portugal,VAXEE XE Wireless Yellow,800,1.28
ScrunK,Germany,Zowie FK2-B,800,1.05
AtaKaptan,Turkey,ZOWIE S2 Divina Blue,800,0.35
Soulfly,Turkey,Logitech G Pro X Superlight Black,800,1.3
kyuubii,Germany,Logitech G Pro X Superlight Black,800,1.15
doc,Brazil,Razer Deathadder V3 Pro Black,800,1.1
tatazin,Brazil,Logitech G Pro X Superlight Magenta,400,2.2
Xeppaa,United States,ZOWIE EC2-CW,800,0.35
Zellsis,United States,Logitech G Pro X Superlight Black,800,0.3
Fit1nho,Spain,Logitech G Pro X Superlight Black,800,0.314
hoody,Finland,VAXEE XE Wireless Blue,400,0.628
rhyme,Bosnia & Herzegovina,VAXEE XE Wireless Black,400,0.5
something,Russia,FinalMouse Starlight Pro,800,0.635
mindfreak,Indonesia,VAXEE XE Wireless White,400,0.5
Benkai,Singapore,Logitech G Pro X Superlight Magenta,800,0.25
AJTT,Czechia,Logitech G Pro Wireless,400,1.9
